Time: 0.141924
X,Y,UX,UY,Rho,P,E
0.8425,0.345,0,0.130693,0.89361,0.855048,2.14525
0.8425,0.355,0,0.162469,0.869059,0.822644,2.06808
0.8425,0.365,0,0.197602,0.84252,0.788047,1.98657
0.8425,0.375,0,0.235819,0.814368,0.751837,1.90224
0.8425,0.385,0,0.276848,0.784968,0.714562,1.81649
0.8425,0.395,0,0.320436,0.754656,0.676715,1.73053
0.8425,0.405,0,0.366357,0.723731,0.638721,1.64537
0.8425,0.415,0,0.414423,0.692451,0.600937,1.56181
0.8425,0.425,0,0.464484,0.661031,0.563651,1.48043
0.8425,0.435,0,0.516435,0.629647,0.527087,1.40168
0.8425,0.445,0,0.570219,0.598433,0.49141,1.32582
0.8425,0.455,0,0.625842,0.567486,0.456732,1.25297
0.8425,0.465,0,0.68339,0.536854,0.423104,1.18312
0.8425,0.475,0,0.743083,0.506529,0.390512,1.11612
0.8425,0.485,0,0.805395,0.4764,0.358836,1.0516
0.8425,0.495,0,0.871355,0.446163,0.327762,0.988781
0.8425,0.505,0,0.942839,0.415274,0.296756,0.926467
0.8425,0.515,0,0.933106,0.418941,0.300824,0.934443
0.8425,0.525,0,0.9309,0.419367,0.301753,0.936089
0.8425,0.535,0,0.930056,0.419048,0.30211,0.936515
0.8425,0.545,0,0.929613,0.418256,0.302299,0.936471
0.8425,0.555,0,0.929328,0.416842,0.302421,0.936054
0.8425,0.565,0,0.929117,0.414407,0.302511,0.935148
0.8425,0.575,0,0.92895,0.410314,0.302584,0.933499
0.8425,0.585,0,0.92881,0.40378,0.302645,0.93078
0.8425,0.595,0,0.928691,0.394099,0.302698,0.926692
0.8425,0.605,0,0.928588,0.38096,0.302743,0.921104
0.8425,0.615,0,0.928498,0.364715,0.302783,0.91417
0.8425,0.625,0,0.928417,0.346445,0.302818,0.906354
0.8425,0.635,0,0.92834,0.327743,0.302846,0.898341
0.8425,0.645,0,0.928255,0.310291,0.302865,0.890844
0.8425,0.655,0,0.928136,0.295424,0.302866,0.88441
0.8425,0.665,0,0.927921,0.283845,0.302831,0.879277
0.8425,0.675,0,0.927457,0.275575,0.302708,0.875291
0.8425,0.685,0,0.926387,0.270089,0.302379,0.871843
0.8425,0.695,0,0.923887,0.266517,0.301571,0.867672
0.8425,0.705,0,0.918112,0.263756,0.299674,0.860349
0.8425,0.715,0,0.905094,0.260403,0.295405,0.845174
0.8425,0.725,0,0.876747,0.254454,0.286266,0.813462
0.8425,0.735,0,0.818,0.242958,0.268087,0.751502
0.8425,0.745,0,0.705842,0.222521,0.23614,0.645782
0.8425,0.755,0,0.521913,0.192618,0.190828,0.503304
0.8425,0.765,0,0.294687,0.160787,0.145261,0.370134
0.8425,0.775,0,0.116802,0.13877,0.116327,0.291765
0.8425,0.785,0,0.0348076,0.129098,0.104675,0.261766
0.8425,0.795,0,0.00904352,0.126067,0.101201,0.253007
0.8425,0.805,0,0.00222699,0.125263,0.100295,0.250737
0.8425,0.815,0,0.000533104,0.125063,0.100071,0.250176
0.8425,0.825,0,0.000124597,0.125015,0.100016,0.250041
0.8425,0.835,0,2.83918e-05,0.125003,0.100004,0.250009
0.8425,0.845,0,6.28997e-06,0.125001,0.100001,0.250002
0.8425,0.855,0,1.35068e-06,0.125,0.1,0.25
0.8425,0.865,0,2.80293e-07,0.125,0.1,0.25
0.8425,0.875,0,5.60543e-08,0.125,0.1,0.25
0.8425,0.885,0,1.07748e-08,0.125,0.1,0.25
0.8425,0.895,0,1.98589e-09,0.125,0.1,0.25
0.8425,0.905,0,3.50159e-10,0.125,0.1,0.25
0.8425,0.915,0,5.89402e-11,0.125,0.1,0.25
0.8425,0.925,0,9.45193e-12,0.125,0.1,0.25
0.8425,0.935,0,1.44129e-12,0.125,0.1,0.25
0.8425,0.945,0,2.08526e-13,0.125,0.1,0.25
0.8425,0.955,0,2.85721e-14,0.125,0.1,0.25
0.8425,0.965,0,3.60997e-15,0.125,0.1,0.25
0.8425,0.975,0,3.74185e-16,0.125,0.1,0.25
0.8425,0.985,0,2.20086e-17,0.125,0.1,0.25
0.8425,0.995,0,0,0.125,0.1,0.25
0.8475,0.005,0,0,1,1,2.5
0.8475,0.015,0,1.10057e-16,1,1,2.5
0.8475,0.025,0,1.16661e-15,1,1,2.5
0.8475,0.035,0,7.52836e-15,1,1,2.5
0.8475,0.045,0,4.71295e-14,1,1,2.5
0.8475,0.055,0,2.75935e-13,1,1,2.5
0.8475,0.065,0,1.52494e-12,1,1,2.5
0.8475,0.075,0,7.93363e-12,1,1,2.5
0.8475,0.085,0,3.89104e-11,1,1,2.5
0.8475,0.095,0,1.80039e-10,1,1,2.5
0.8475,0.105,0,7.86427e-10,1,1,2.5
0.8475,0.115,0,3.24474e-09,1,1,2.5
0.8475,0.125,0,1.26511e-08,1,1,2.5
0.8475,0.135,0,4.66298e-08,1,1,2.5
0.8475,0.145,0,1.6252e-07,1,1,2.5
0.8475,0.155,0,5.35721e-07,1,0.999999,2.5
0.8475,0.165,0,1.67036e-06,0.999999,0.999998,2.5
0.8475,0.175,0,4.92647e-06,0.999996,0.999994,2.49999
0.8475,0.185,0,1.37435e-05,0.999988,0.999984,2.49996
0.8475,0.195,0,3.62619e-05,0.999969,0.999957,2.49989
0.8475,0.205,0,9.04738e-05,0.999924,0.999893,2.49973
0.8475,0.215,0,0.00021342,0.99982,0.999748,2.49937
0.8475,0.225,0,0.000475897,0.999598,0.999437,2.49859
0.8475,0.235,0,0.00100306,0.999152,0.998814,2.49703
0.8475,0.245,0,0.0019986,0.998311,0.997637,2.4941
0.8475,0.255,0,0.0037663,0.996819,0.995552,2.48889
0.8475,0.265,0,0.00671895,0.994329,0.992075,2.48021
0.8475,0.275,0,0.0113648,0.990419,0.986626,2.46663
0.8475,0.285,0,0.0182666,0.984628,0.978576,2.4466
0.8475,0.295,0,0.0279805,0.976515,0.967339,2.41873
0.8475,0.305,0,0.040988,0.965721,0.952462,2.38197
0.8475,0.315,0,0.0576422,0.952024,0.933697,2.33582
0.8475,0.325,0,0.0781394,0.935358,0.911032,2.28044
0.8475,0.335,0,0.10252,0.915813,0.884683,2.21652
0.8475,0.345,0,0.130693,0.89361,0.855048,2.14525
0.8475,0.355,0,0.162469,0.869059,0.822644,2.06808
0.8475,0.365,0,0.197602,0.84252,0.788047,1.98657
0.8475,0.375,0,0.235819,0.814368,0.751837,1.90224
0.8475,0.385,0,0.276848,0.784968,0.714562,1.81649
0.8475,0.395,0,0.320436,0.754656,0.676715,1.73053
0.8475,0.405,0,0.366357,0.723731,0.638721,1.64537
0.8475,0.415,0,0.414423,0.692451,0.600937,1.56181
0.8475,0.425,0,0.464484,0.661031,0.563651,1.48043
0.8475,0.435,0,0.516435,0.629647,0.527087,1.40168
0.8475,0.445,0,0.570219,0.598433,0.49141,1.32582
0.8475,0.455,0,0.625842,0.567486,0.456732,1.25297
0.8475,0.465,0,0.68339,0.536854,0.423104,1.18312
0.8475,0.475,0,0.743083,0.506529,0.390512,1.11612
0.8475,0.485,0,0.805395,0.4764,0.358836,1.0516
0.8475,0.495,0,0.871355,0.446163,0.327762,0.988781
0.8475,0.505,0,0.942839,0.415274,0.296756,0.926467
0.8475,0.515,0,0.933106,0.418941,0.300824,0.934443
0.8475,0.525,0,0.9309,0.419367,0.301753,0.936089
0.8475,0.535,0,0.930056,0.419048,0.30211,0.936515
0.8475,0.545,0,0.929613,0.418256,0.302299,0.936471
0.8475,0.555,0,0.929328,0.416842,0.302421,0.936054
0.8475,0.565,0,0.929117,0.414407,0.302511,0.935148
0.8475,0.575,0,0.92895,0.410314,0.302584,0.933499
0.8475,0.585,0,0.92881,0.40378,0.302645,0.93078
0.8475,0.595,0,0.928691,0.394099,0.302698,0.926692
0.8475,0.605,0,0.928588,0.38096,0.302743,0.921104
0.8475,0.615,0,0.928498,0.364715,0.302783,0.91417
0.8475,0.625,0,0.928417,0.346445,0.302818,0.906354
0.8475,0.635,0,0.92834,0.327743,0.302846,0.898341
0.8475,0.645,0,0.928255,0.310291,0.302865,0.890844
0.8475,0.655,0,0.928136,0.295424,0.302866,0.88441
0.8475,0.665,0,0.927921,0.283845,0.302831,0.879277
0.8475,0.675,0,0.927457,0.275575,0.302708,0.875291
0.8475,0.685,0,0.926387,0.270089,0.302379,0.871843
0.8475,0.695,0,0.923887,0.266517,0.301571,0.867672
0.8475,0.705,0,0.918112,0.263756,0.299674,0.860349
0.8475,0.715,0,0.905094,0.260403,0.295405,0.845174
0.8475,0.725,0,0.876747,0.254454,0.286266,0.813462
0.8475,0.735,0,0.818,0.242958,0.268087,0.751502
0.8475,0.745,0,0.705842,0.222521,0.23614,0.645782
0.8475,0.755,0,0.521913,0.192618,0.190828,0.503304
0.8475,0.765,0,0.294687,0.160787,0.145261,0.370134
0.8475,0.775,0,0.116802,0.13877,0.116327,0.291765
0.8475,0.785,0,0.0348076,0.129098,0.104675,0.261766
0.8475,0.795,0,0.00904352,0.126067,0.101201,0.253007
0.8475,0.805,0,0.00222699,0.125263,0.100295,0.250737
0.8475,0.815,0,0.000533104,0.125063,0.100071,0.250176
0.8475,0.825,0,0.000124597,0.125015,0.100016,0.250041
0.8475,0.835,0,2.83918e-05,0.125003,0.100004,0.250009
0.8475,0.845,0,6.28997e-06,0.125001,0.100001,0.250002
0.8475,0.855,0,1.35068e-06,0.125,0.1,0.25
0.8475,0.865,0,2.80293e-07,0.125,0.1,0.25
0.8475,0.875,0,5.60543e-08,0.125,0.1,0.25
0.8475,0.885,0,1.07748e-08,0.125,0.1,0.25
0.8475,0.895,0,1.98589e-09,0.125,0.1,0.25
0.8475,0.905,0,3.50159e-10,0.125,0.1,0.25
0.8475,0.915,0,5.89402e-11,0.125,0.1,0.25
0.8475,0.925,0,9.45193e-12,0.125,0.1,0.25
0.8475,0.935,0,1.44129e-12,0.125,0.1,0.25
0.8475,0.945,0,2.08526e-13,0.125,0.1,0.25
0.8475,0.955,0,2.85721e-14,0.125,0.1,0.25
0.8475,0.965,0,3.60997e-15,0.125,0.1,0.25
0.8475,0.975,0,3.74185e-16,0.125,0.1,0.25
0.8475,0.985,0,2.20086e-17,0.125,0.1,0.25
0.8475,0.995,0,0,0.125,0.1,0.25
0.8525,0.005,0,0,1,1,2.5
0.8525,0.015,0,1.10057e-16,1,1,2.5
0.8525,0.025,0,1.16661e-15,1,1,2.5
0.8525,0.035,0,7.52836e-15,1,1,2.5
0.8525,0.045,0,4.71295e-14,1,1,2.5
0.8525,0.055,0,2.75935e-13,1,1,2.5
0.8525,0.065,0,1.52494e-12,1,1,2.5
0.8525,0.075,0,7.93363e-12,1,1,2.5
0.8525,0.085,0,3.89104e-11,1,1,2.5
0.8525,0.095,0,1.80039e-10,1,1,2.5
0.8525,0.105,0,7.86427e-10,1,1,2.5
0.8525,0.115,0,3.24474e-09,1,1,2.5
0.8525,0.125,0,1.26511e-08,1,1,2.5
0.8525,0.135,0,4.66298e-08,1,1,2.5
0.8525,0.145,0,1.6252e-07,1,1,2.5
0.8525,0.155,0,5.35721e-07,1,0.999999,2.5
0.8525,0.165,0,1.67036e-06,0.999999,0.999998,2.5
0.8525,0.175,0,4.92647e-06,0.999996,0.999994,2.49999
0.8525,0.185,0,1.37435e-05,0.999988,0.999984,2.49996
0.8525,0.195,0,3.62619e-05,0.999969,0.999957,2.49989
0.8525,0.205,0,9.04738e-05,0.999924,0.999893,2.49973
0.8525,0.215,0,0.00021342,0.99982,0.999748,2.49937
0.8525,0.225,0,0.000475897,0.999598,0.999437,2.49859
0.8525,0.235,0,0.00100306,0.999152,0.998814,2.49703
0.8525,0.245,0,0.0019986,0.998311,0.997637,2.4941
0.8525,0.255,0,0.0037663,0.996819,0.995552,2.48889
0.8525,0.265,0,0.00671895,0.994329,0.992075,2.48021
0.8525,0.275,0,0.0113648,0.990419,0.986626,2.46663
0.8525,0.285,0,0.0182666,0.984628,0.978576,2.4466
0.8525,0.295,0,0.0279805,0.976515,0.967339,2.41873
0.8525,0.305,0,0.040988,0.965721,0.952462,2.38197
0.8525,0.315,0,0.0576422,0.952024,0.933697,2.33582
0.8525,0.325,0,0.0781394,0.935358,0.911032,2.28044
0.8525,0.335,0,0.10252,0.915813,0.884683,2.21652
0.8525,0.345,0,0.130693,0.89361,0.855048,2.14525
0.8525,0.355,0,0.162469,0.869059,0.822644,2.06808
0.8525,0.365,0,0.197602,0.84252,0.788047,1.98657
0.8525,0.375,0,0.235819,0.814368,0.751837,1.90224
0.8525,0.385,0,0.276848,0.784968,0.714562,1.81649
0.8525,0.395,0,0.320436,0.754656,0.676715,1.73053
0.8525,0.405,0,0.366357,0.723731,0.638721,1.64537
0.8525,0.415,0,0.414423,0.692451,0.600937,1.56181
0.8525,0.425,0,0.464484,0.661031,0.563651,1.48043
0.8525,0.435,0,0.516435,0.629647,0.527087,1.40168
0.8525,0.445,0,0.570219,0.598433,0.49141,1.32582
0.8525,0.455,0,0.625842,0.567486,0.456732,1.25297
0.8525,0.465,0,0.68339,0.536854,0.423104,1.18312
0.8525,0.475,0,0.743083,0.506529,0.390512,1.11612
0.8525,0.485,0,0.805395,0.4764,0.358836,1.0516
0.8525,0.495,0,0.871355,0.446163,0.327762,0.988781
0.8525,0.505,0,0.942839,0.415274,0.296756,0.926467
0.8525,0.515,0,0.933106,0.418941,0.300824,0.934443
0.8525,0.525,0,0.9309,0.419367,0.301753,0.936089
0.8525,0.535,0,0.930056,0.419048,0.30211,0.936515
0.8525,0.545,0,0.929613,0.418256,0.302299,0.936471
0.8525,0.555,0,0.929328,0.416842,0.302421,0.936054
0.8525,0.565,0,0.929117,0.414407,0.302511,0.935148
0.8525,0.575,0,0.92895,0.410314,0.302584,0.933499
0.8525,0.585,0,0.92881,0.40378,0.302645,0.93078
0.8525,0.595,0,0.928691,0.394099,0.302698,0.926692
0.8525,0.605,0,0.928588,0.38096,0.302743,0.921104
0.8525,0.615,0,0.928498,0.364715,0.302783,0.91417
0.8525,0.625,0,0.928417,0.346445,0.302818,0.906354
0.8525,0.635,0,0.92834,0.327743,0.302846,0.898341
0.8525,0.645,0,0.928255,0.310291,0.302865,0.890844
0.8525,0.655,0,0.928136,0.295424,0.302866,0.88441
0.8525,0.665,0,0.927921,0.283845,0.302831,0.879277
0.8525,0.675,0,0.927457,0.275575,0.302708,0.875291
0.8525,0.685,0,0.926387,0.270089,0.302379,0.871843
0.8525,0.695,0,0.923887,0.266517,0.301571,0.867672
0.8525,0.705,0,0.918112,0.263756,0.299674,0.860349
0.8525,0.715,0,0.905094,0.260403,0.295405,0.845174
0.8525,0.725,0,0.876747,0.254454,0.286266,0.813462
0.8525,0.735,0,0.818,0.242958,0.268087,0.751502
0.8525,0.745,0,0.705842,0.222521,0.23614,0.645782
0.8525,0.755,0,0.521913,0.192618,0.190828,0.503304
0.8525,0.765,0,0.294687,0.160787,0.145261,0.370134
0.8525,0.775,0,0.116802,0.13877,0.116327,0.291765
0.8525,0.785,0,0.0348076,0.129098,0.104675,0.261766
0.8525,0.795,0,0.00904352,0.126067,0.101201,0.253007
0.8525,0.805,0,0.00222699,0.125263,0.100295,0.250737
0.8525,0.815,0,0.000533104,0.125063,0.100071,0.250176
0.8525,0.825,0,0.000124597,0.125015,0.100016,0.250041
0.8525,0.835,0,2.83918e-05,0.125003,0.100004,0.250009
0.8525,0.845,0,6.28997e-06,0.125001,0.100001,0.250002
0.8525,0.855,0,1.35068e-06,0.125,0.1,0.25
0.8525,0.865,0,2.80293e-07,0.125,0.1,0.25
0.8525,0.875,0,5.60543e-08,0.125,0.1,0.25
0.8525,0.885,0,1.07748e-08,0.125,0.1,0.25
0.8525,0.895,0,1.98589e-09,0.125,0.1,0.25
0.8525,0.905,0,3.50159e-10,0.125,0.1,0.25
0.8525,0.915,0,5.89402e-11,0.125,0.1,0.25
0.8525,0.925,0,9.45193e-12,0.125,0.1,0.25
0.8525,0.935,0,1.44129e-12,0.125,0.1,0.25
0.8525,0.945,0,2.08526e-13,0.125,0.1,0.25
0.8525,0.955,0,2.85721e-14,0.125,0.1,0.25
0.8525,0.965,0,3.60997e-15,0.125,0.1,0.25
0.8525,0.975,0,3.74185e-16,0.125,0.1,0.25
0.8525,0.985,0,2.20086e-17,0.125,0.1,0.25
0.8525,0.995,0,0,0.125,0.1,0.25
0.8575,0.005,0,0,1,1,2.5
0.8575,0.015,0,1.10057e-16,1,1,2.5
0.8575,0.025,0,1.16661e-15,1,1,2.5
0.8575,0.035,0,7.52836e-15,1,1,2.5
0.8575,0.045,0,4.71295e-14,1,1,2.5
0.8575,0.055,0,2.75935e-13,1,1,2.5
0.8575,0.065,0,1.52494e-12,1,1,2.5
0.8575,0.075,0,7.93363e-12,1,1,2.5
0.8575,0.085,0,3.89104e-11,1,1,2.5
0.8575,0.095,0,1.80039e-10,1,1,2.5
0.8575,0.105,0,7.86427e-10,1,1,2.5
0.8575,0.115,0,3.24474e-09,1,1,2.5
0.8575,0.125,0,1.26511e-08,1,1,2.5
0.8575,0.135,0,4.66298e-08,1,1,2.5
0.8575,0.145,0,1.6252e-07,1,1,2.5
0.8575,0.155,0,5.35721e-07,1,0.999999,2.5
0.8575,0.165,0,1.67036e-06,0.999999,0.999998,2.5
0.8575,0.175,0,4.92647e-06,0.999996,0.999994,2.49999
0.8575,0.185,0,1.37435e-05,0.999988,0.999984,2.49996
0.8575,0.195,0,3.62619e-05,0.999969,0.999957,2.49989
0.8575,0.205,0,9.04738e-05,0.999924,0.999893,2.49973
0.8575,0.215,0,0.00021342,0.99982,0.999748,2.49937
0.8575,0.225,0,0.000475897,0.999598,0.999437,2.49859
0.8575,0.235,0,0.00100306,0.999152,0.998814,2.49703
0.8575,0.245,0,0.0019986,0.998311,0.997637,2.4941
0.8575,0.255,0,0.0037663,0.996819,0.995552,2.48889
0.8575,0.265,0,0.00671895,0.994329,0.992075,2.48021
0.8575,0.275,0,0.0113648,0.990419,0.986626,2.46663
0.8575,0.285,0,0.0182666,0.984628,0.978576,2.4466
0.8575,0.295,0,0.0279805,0.976515,0.967339,2.41873
0.8575,0.305,0,0.040988,0.965721,0.952462,2.38197
0.8575,0.315,0,0.0576422,0.952024,0.933697,2.33582
0.8575,0.325,0,0.0781394,0.935358,0.911032,2.28044
0.8575,0.335,0,0.10252,0.915813,0.884683,2.21652
0.8575,0.345,0,0.130693,0.89361,0.855048,2.14525
0.8575,0.355,0,0.162469,0.869059,0.822644,2.06808
0.8575,0.365,0,0.197602,0.84252,0.788047,1.98657
0.8575,0.375,0,0.235819,0.814368,0.751837,1.90224
0.8575,0.385,0,0.276848,0.784968,0.714562,1.81649
0.8575,0.395,0,0.320436,0.754656,0.676715,1.73053
0.8575,0.405,0,0.366357,0.723731,0.638721,1.64537
0.8575,0.415,0,0.414423,0.692451,0.600937,1.56181
0.8575,0.425,0,0.464484,0.661031,0.563651,1.48043
0.8575,0.435,0,0.516435,0.629647,0.527087,1.40168
0.8575,0.445,0,0.570219,0.598433,0.49141,1.32582
0.8575,0.455,0,0.625842,0.567486,0.456732,1.25297
0.8575,0.465,0,0.68339,0.536854,0.423104,1.18312
0.8575,0.475,0,0.743083,0.506529,0.390512,1.11612
0.8575,0.485,0,0.805395,0.4764,0.358836,1.0516
0.8575,0.495,0,0.871355,0.446163,0.327762,0.988781
0.8575,0.505,0,0.942839,0.415274,0.296756,0.926467
0.8575,0.515,0,0.933106,0.418941,0.300824,0.934443
0.8575,0.525,0,0.9309,0.419367,0.301753,0.936089
0.8575,0.535,0,0.930056,0.419048,0.30211,0.936515
0.8575,0.545,0,0.929613,0.418256,0.302299,0.936471
0.8575,0.555,0,0.929328,0.416842,0.302421,0.936054
0.8575,0.565,0,0.929117,0.414407,0.302511,0.935148
0.8575,0.575,0,0.92895,0.410314,0.302584,0.933499
0.8575,0.585,0,0.92881,0.40378,0.302645,0.93078
0.8575,0.595,0,0.928691,0.394099,0.302698,0.926692
0.8575,0.605,0,0.928588,0.38096,0.302743,0.921104
0.8575,0.615,0,0.928498,0.364715,0.302783,0.91417
0.8575,0.625,0,0.928417,0.346445,0.302818,0.906354
0.8575,0.635,0,0.92834,0.327743,0.302846,0.898341
0.8575,0.645,0,0.928255,0.310291,0.302865,0.890844
0.8575,0.655,0,0.928136,0.295424,0.302866,0.88441
0.8575,0.665,0,0.927921,0.283845,0.302831,0.879277
0.8575,0.675,0,0.927457,0.275575,0.302708,0.875291
0.8575,0.685,0,0.926387,0.270089,0.302379,0.871843
0.8575,0.695,0,0.923887,0.266517,0.301571,0.867672
0.8575,0.705,0,0.918112,0.263756,0.299674,0.860349
0.8575,0.715,0,0.905094,0.260403,0.295405,0.845174
0.8575,0.725,0,0.876747,0.254454,0.286266,0.813462
0.8575,0.735,0,0.818,0.242958,0.268087,0.751502
0.8575,0.745,0,0.705842,0.222521,0.23614,0.645782
0.8575,0.755,0,0.521913,0.192618,0.190828,0.503304
0.8575,0.765,0,0.294687,0.160787,0.145261,0.370134
0.8575,0.775,0,0.116802,0.13877,0.116327,0.291765
0.8575,0.785,0,0.0348076,0.129098,0.104675,0.261766
0.8575,0.795,0,0.00904352,0.126067,0.101201,0.253007
0.8575,0.805,0,0.00222699,0.125263,0.100295,0.250737
0.8575,0.815,0,0.000533104,0.125063,0.100071,0.250176
0.8575,0.825,0,0.000124597,0.125015,0.100016,0.250041
0.8575,0.835,0,2.83918e-05,0.125003,0.100004,0.250009
0.8575,0.845,0,6.28997e-06,0.125001,0.100001,0.250002
0.8575,0.855,0,1.35068e-06,0.125,0.1,0.25
0.8575,0.865,0,2.80293e-07,0.125,0.1,0.25
0.8575,0.875,0,5.60543e-08,0.125,0.1,0.25
0.8575,0.885,0,1.07748e-08,0.125,0.1,0.25
0.8575,0.895,0,1.98589e-09,0.125,0.1,0.25
0.8575,0.905,0,3.50159e-10,0.125,0.1,0.25
0.8575,0.915,0,5.89402e-11,0.125,0.1,0.25
0.8575,0.925,0,9.45193e-12,0.125,0.1,0.25
0.8575,0.935,0,1.44129e-12,0.125,0.1,0.25
0.8575,0.945,0,2.08526e-13,0.125,0.1,0.25
0.8575,0.955,0,2.85721e-14,0.125,0.1,0.25
0.8575,0.965,0,3.60997e-15,0.125,0.1,0.25
0.8575,0.975,0,3.74185e-16,0.125,0.1,0.25
0.8575,0.985,0,2.20086e-17,0.125,0.1,0.25
0.8575,0.995,0,0,0.125,0.1,0.25
0.8625,0.005,0,0,1,1,2.5
0.8625,0.015,0,1.10057e-16,1,1,2.5
0.8625,0.025,0,1.16661e-15,1,1,2.5
0.8625,0.035,0,7.52836e-15,1,1,2.5
0.8625,0.045,0,4.71295e-14,1,1,2.5
0.8625,0.055,0,2.75935e-13,1,1,2.5
0.8625,0.065,0,1.52494e-12,1,1,2.5
0.8625,0.075,0,7.93363e-12,1,1,2.5
0.8625,0.085,0,3.89104e-11,1,1,2.5
0.8625,0.095,0,1.80039e-10,1,1,2.5
0.8625,0.105,0,7.86427e-10,1,1,2.5
0.8625,0.115,0,3.24474e-09,1,1,2.5
0.8625,0.125,0,1.26511e-08,1,1,2.5
0.8625,0.135,0,4.66298e-08,1,1,2.5
0.8625,0.145,0,1.6252e-07,1,1,2.5
0.8625,0.155,0,5.35721e-07,1,0.999999,2.5
0.8625,0.165,0,1.67036e-06,0.999999,0.999998,2.5
0.8625,0.175,0,4.92647e-06,0.999996,0.999994,2.49999
0.8625,0.185,0,1.37435e-05,0.999988,0.999984,2.49996
0.8625,0.195,0,3.62619e-05,0.999969,0.999957,2.49989
0.8625,0.205,0,9.04738e-05,0.999924,0.999893,2.49973
0.8625,0.215,0,0.00021342,0.99982,0.999748,2.49937
0.8625,0.225,0,0.000475897,0.999598,0.999437,2.49859
0.8625,0.235,0,0.00100306,0.999152,0.998814,2.49703
0.8625,0.245,0,0.0019986,0.998311,0.997637,2.4941
0.8625,0.255,0,0.0037663,0.996819,0.995552,2.48889
0.8625,0.265,0,0.00671895,0.994329,0.992075,2.48021
0.8625,0.275,0,0.0113648,0.990419,0.986626,2.46663
0.8625,0.285,0,0.0182666,0.984628,0.978576,2.4466
0.8625,0.295,0,0.0279805,0.976515,0.967339,2.41873
0.8625,0.305,0,0.040988,0.965721,0.952462,2.38197
0.8625,0.315,0,0.0576422,0.952024,0.933697,2.33582
0.8625,0.325,0,0.0781394,0.935358,0.911032,2.28044
0.8625,0.335,0,0.10252,0.915813,0.884683,2.21652
0.8625,0.345,0,0.130693,0.89361,0.855048,2.14525
0.8625,0.355,0,0.162469,0.869059,0.822644,2.06808
0.8625,0.365,0,0.197602,0.84252,0.788047,1.98657
0.8625,0.375,0,0.235819,0.814368,0.751837,1.90224
0.8625,0.385,0,0.276848,0.784968,0.714562,1.81649
0.8625,0.395,0,0.320436,0.754656,0.676715,1.73053
0.8625,0.405,0,0.366357,0.723731,0.638721,1.64537
0.8625,0.415,0,0.414423,0.692451,0.600937,1.56181
0.8625,0.425,0,0.464484,0.661031,0.563651,1.48043
0.8625,0.435,0,0.516435,0.629647,0.527087,1.40168
0.8625,0.445,0,0.570219,0.598433,0.49141,1.32582
0.8625,0.455,0,0.625842,0.567486,0.456732,1.25297
0.8625,0.465,0,0.68339,0.536854,0.423104,1.18312
0.8625,0.475,0,0.743083,0.506529,0.390512,1.11612
0.8625,0.485,0,0.805395,0.4764,0.358836,1.0516
0.8625,0.495,0,0.871355,0.446163,0.327762,0.988781
0.8625,0.505,0,0.942839,0.415274,0.296756,0.926467
0.8625,0.515,0,0.933106,0.418941,0.300824,0.934443
0.8625,0.525,0,0.9309,0.419367,0.301753,0.936089
0.8625,0.535,0,0.930056,0.419048,0.30211,0.936515
0.8625,0.545,0,0.929613,0.418256,0.302299,0.936471
0.8625,0.555,0,0.929328,0.416842,0.302421,0.936054
0.8625,0.565,0,0.929117,0.414407,0.302511,0.935148
0.8625,0.575,0,0.92895,0.410314,0.302584,0.933499
0.8625,0.585,0,0.92881,0.40378,0.302645,0.93078
0.8625,0.595,0,0.928691,0.394099,0.302698,0.926692
0.8625,0.605,0,0.928588,0.38096,0.302743,0.921104
0.8625,0.615,0,0.928498,0.364715,0.302783,0.91417
0.8625,0.625,0,0.928417,0.346445,0.302818,0.906354
0.8625,0.635,0,0.92834,0.327743,0.302846,0.898341
0.8625,0.645,0,0.928255,0.310291,0.302865,0.890844
0.8625,0.655,0,0.928136,0.295424,0.302866,0.88441
0.8625,0.665,0,0.927921,0.283845,0.302831,0.879277
0.8625,0.675,0,0.927457,0.275575,0.302708,0.875291
0.8625,0.685,0,0.926387,0.270089,0.302379,0.871843
0.8625,0.695,0,0.923887,0.266517,0.301571,0.867672
0.8625,0.705,0,0.918112,0.263756,0.299674,0.860349
0.8625,0.715,0,0.905094,0.260403,0.295405,0.845174
0.8625,0.725,0,0.876747,0.254454,0.286266,0.813462
0.8625,0.735,0,0.818,0.242958,0.268087,0.751502
0.8625,0.745,0,0.705842,0.222521,0.23614,0.645782
0.8625,0.755,0,0.521913,0.192618,0.190828,0.503304
0.8625,0.765,0,0.294687,0.160787,0.145261,0.370134
0.8625,0.775,0,0.116802,0.13877,0.116327,0.291765
0.8625,0.785,0,0.0348076,0.129098,0.104675,0.261766
0.8625,0.795,0,0.00904352,0.126067,0.101201,0.253007
0.8625,0.805,0,0.00222699,0.125263,0.100295,0.250737
0.8625,0.815,0,0.000533104,0.125063,0.100071,0.250176
0.8625,0.825,0,0.000124597,0.125015,0.100016,0.250041
0.8625,0.835,0,2.83918e-05,0.125003,0.100004,0.250009
0.8625,0.845,0,6.28997e-06,0.125001,0.100001,0.250002
0.8625,0.855,0,1.35068e-06,0.125,0.1,0.25
0.8625,0.865,0,2.80293e-07,0.125,0.1,0.25
0.8625,0.875,0,5.60543e-08,0.125,0.1,0.25
0.8625,0.885,0,1.07748e-08,0.125,0.1,0.25
